"Song Name",Artists,Popularity
"Temporary pyar",Kaka,59
"Distance Love","Zehr Vibe",70
"Gal Karke","Inder Chahal",64
"Mann Bharrya","B Praak",52
"In Love Again","Harman Hundal",54
"Vail (feat. Nimrat Khaira & Shree Brar)","Mankirt Aulakh",61
"Rabba Ve","B Praak",51
"Bewafai Kar Gaya - From "Lekh"""","B Praak",53
"Love Like Me","Jassa Dhillon",52
Beliya,"B Praak",58
"Temporary pyar",Kaka,59
"Gal Karke","Inder Chahal",64
"Mann Bharrya","B Praak",52
"In Love Again","Harman Hundal",54
"Vail (feat. Nimrat Khaira & Shree Brar)","Mankirt Aulakh",61
"Rabba Ve","B Praak",51
"Bewafai Kar Gaya - From "Lekh"""","B Praak",53
"Love Like Me","Jassa Dhillon",52
Beliya,"B Praak",58
"Temporary pyar",Kaka,59
"Mann Bharrya","B Praak",52
"In Love Again","Harman Hundal",54
"Vail (feat. Nimrat Khaira & Shree Brar)","Mankirt Aulakh",61
"Rabba Ve","B Praak",51
"Bewafai Kar Gaya - From "Lekh"""","B Praak",53
"Love Like Me","Jassa Dhillon",52
Beliya,"B Praak",58
"Temporary pyar",Kaka,59
"Mann Bharrya","B Praak",52
"In Love Again","Harman Hundal",54
"Rabba Ve","B Praak",51
"Bewafai Kar Gaya - From "Lekh"""","B Praak",53
"Love Like Me","Jassa Dhillon",52
Beliya,"B Praak",58
"Temporary pyar",Kaka,59
"In Love Again","Harman Hundal",54
"Rabba Ve","B Praak",51
"Bewafai Kar Gaya - From "Lekh"""","B Praak",53
"Love Like Me","Jassa Dhillon",52
Beliya,"B Praak",58
"In Love Again","Harman Hundal",54
"Rabba Ve","B Praak",51
"Bewafai Kar Gaya - From "Lekh"""","B Praak",53
"Love Like Me","Jassa Dhillon",52
Beliya,"B Praak",58
"In Love Again","Harman Hundal",54
"Rabba Ve","B Praak",51
"Bewafai Kar Gaya - From "Lekh"""","B Praak",53
"Love Like Me","Jassa Dhillon",52
"In Love Again","Harman Hundal",54
"Rabba Ve","B Praak",51
"Love Like Me","Jassa Dhillon",52
